server_id,window_start,window_end,avg_cpu,avg_mem,alert
server_1,20:53:00,20:53:30,77.83,42.57,CPU spike suspected
server_1,20:53:10,20:53:40,76.33,38.29,CPU spike suspected
server_1,20:53:20,20:53:50,57.52,47.33,""
server_1,20:53:30,20:54:00,60.8,31.94,""
server_1,20:53:40,20:54:10,55.25,41.16,""
server_1,20:53:50,20:54:20,68.54,52.25,""
server_1,20:54:00,20:54:30,54.65,63.14,""
server_1,20:54:10,20:54:40,59.07,62.37,""
server_1,20:54:20,20:54:50,54.62,53.25,""
server_1,20:54:30,20:55:00,56.28,46.99,""
server_1,20:54:40,20:55:10,54.87,38.06,""
server_1,20:54:50,20:55:20,46.83,37.42,""
server_1,20:55:00,20:55:30,58.07,34.67,""
server_1,20:55:10,20:55:40,48.98,36.02,""
server_1,20:55:20,20:55:50,46.44,44.84,""
server_1,20:55:30,20:56:00,48.93,49.88,""
server_1,20:55:40,20:56:10,55.93,55.66,""
server_1,20:55:50,20:56:20,66.58,38.42,""
server_1,20:56:00,20:56:30,59.74,39.8,""
server_1,20:56:10,20:56:40,50.68,34.68,""
server_1,20:56:20,20:56:50,49.39,51.42,""
server_1,20:56:30,20:57:00,38.76,58.05,""
server_1,20:56:40,20:57:10,48.82,67.88,""
server_1,20:56:50,20:57:20,49.96,67.2,""
server_1,20:57:00,20:57:30,54.1,67.41,""
server_1,20:57:10,20:57:40,63.34,47.57,""
server_1,20:57:20,20:57:50,63.81,37.94,""
server_1,20:57:30,20:58:00,65.03,39.2,""
server_1,20:57:40,20:58:10,41.08,54.8,""
server_1,20:57:50,20:58:20,32.06,61.26,""
server_1,20:58:00,20:58:30,41.88,62.19,""
server_1,20:58:10,20:58:40,41.4,64.22,""
server_1,20:58:20,20:58:50,41.21,59.35,""
server_1,20:58:30,20:59:00,31.3,60.37,""
server_1,20:58:40,20:59:10,46.02,71.47,""
server_1,20:58:50,20:59:20,42.33,82.67,Memory saturation suspected
server_1,20:59:00,20:59:30,46.27,73.5,""
server_1,20:59:10,20:59:40,43.05,58.16,""
server_1,20:59:20,20:59:50,57.39,56.9,""
server_1,20:59:30,21:00:00,60.11,58.17,""
server_1,20:59:40,21:00:10,59.25,53.53,""
server_1,20:59:50,21:00:20,55.5,53.45,""
server_1,21:00:00,21:00:30,57.82,57.74,""
server_1,21:00:10,21:00:40,53.53,70.55,""
server_1,21:00:20,21:00:50,60.39,72.84,""
server_1,21:00:30,21:01:00,49.91,76.99,Memory saturation suspected
server_1,21:00:40,21:01:10,51.75,65.35,""
server_1,21:00:50,21:01:20,51.17,50.12,""
server_1,21:01:00,21:01:30,48.44,44.82,""
server_1,21:01:10,21:01:40,57.27,54.54,""
server_1,21:01:20,21:01:50,56.21,54.91,""
server_1,21:01:30,21:02:00,73.12,61.7,""
server_1,21:01:40,21:02:10,58.12,46.14,""
server_1,21:01:50,21:02:20,53.54,53.53,""
server_1,21:02:00,21:02:30,46.34,42.03,""
server_1,21:02:10,21:02:40,49.55,50.06,""
server_1,21:02:20,21:02:50,46.52,48.83,""
server_1,21:02:30,21:03:00,53.4,59.12,""
server_1,21:02:40,21:03:10,65.31,52.29,""
server_1,21:02:50,21:03:20,75.79,39.64,CPU spike suspected
server_1,21:03:00,21:03:30,77.2,24.31,CPU spike suspected
server_1,21:03:10,21:03:40,79.64,38.4,CPU spike suspected
server_1,21:03:20,21:03:50,65.84,51.98,""
server_1,21:03:30,21:04:00,58.68,57.39,""
server_1,21:03:40,21:04:10,50.18,54.51,""
server_1,21:03:50,21:04:20,47.58,53.16,""
server_1,21:04:00,21:04:30,46.05,53.34,""
server_1,21:04:10,21:04:40,45.92,55.0,""
server_1,21:04:20,21:04:50,50.25,57.31,""
server_1,21:04:30,21:05:00,46.59,66.38,""
server_1,21:04:40,21:05:10,41.64,60.12,""
server_1,21:04:50,21:05:20,38.72,56.29,""
server_1,21:05:00,21:05:30,46.16,46.5,""
server_1,21:05:10,21:05:40,56.09,56.88,""
server_1,21:05:20,21:05:50,61.69,57.74,""
server_1,21:05:30,21:06:00,64.36,68.07,""
server_1,21:05:40,21:06:10,58.93,57.88,""
server_1,21:05:50,21:06:20,64.16,54.54,""
server_1,21:06:00,21:06:30,51.27,52.77,""
server_1,21:06:10,21:06:40,53.72,57.97,""
server_1,21:06:20,21:06:50,48.11,62.96,""
server_1,21:06:30,21:07:00,50.0,52.17,""
server_1,21:06:40,21:07:10,44.6,55.36,""
server_1,21:06:50,21:07:20,44.92,55.56,""
server_1,21:07:00,21:07:30,54.06,50.92,""
server_1,21:07:10,21:07:40,68.38,42.89,""
server_1,21:07:20,21:07:50,63.79,36.57,""
server_1,21:07:30,21:08:00,58.74,47.93,""
server_1,21:07:40,21:08:10,47.21,47.16,""
server_1,21:07:50,21:08:20,46.34,44.81,""
server_1,21:08:00,21:08:30,40.19,34.48,""
server_1,21:08:10,21:08:40,54.99,38.88,""
server_1,21:08:20,21:08:50,62.92,43.94,""
server_1,21:08:30,21:09:00,59.86,41.25,""
server_1,21:08:40,21:09:10,41.9,35.78,""
server_1,21:08:50,21:09:20,44.08,44.87,""
server_1,21:09:00,21:09:30,56.7,60.0,""
server_1,21:09:10,21:09:40,52.0,58.52,""
server_1,21:09:20,21:09:50,48.63,50.63,""
server_1,21:09:30,21:10:00,36.93,45.51,""
server_1,21:09:40,21:10:10,46.24,51.46,""
server_1,21:09:50,21:10:20,55.72,56.89,""
server_1,21:10:00,21:10:30,55.75,60.79,""
server_1,21:10:10,21:10:40,57.67,47.86,""
server_1,21:10:20,21:10:50,49.65,45.62,""
server_1,21:10:30,21:11:00,60.53,38.61,""
server_1,21:10:40,21:11:10,57.48,64.45,""
server_1,21:10:50,21:11:20,49.89,60.2,""
server_1,21:11:00,21:11:30,53.45,57.89,""
server_1,21:11:10,21:11:40,61.69,44.96,""
server_1,21:11:20,21:11:50,78.19,57.88,CPU spike suspected
server_1,21:11:30,21:12:00,73.02,58.86,""
server_1,21:11:40,21:12:10,68.06,60.06,""
server_1,21:11:50,21:12:20,57.57,52.48,""
server_1,21:12:00,21:12:30,63.08,58.56,""
server_1,21:12:10,21:12:40,72.16,65.09,""
server_1,21:12:20,21:12:50,69.01,63.37,""
server_1,21:12:30,21:13:00,59.33,61.07,""
server_1,21:12:40,21:13:10,44.8,48.76,""
server_1,21:12:50,21:13:20,49.39,47.02,""
server_1,21:13:00,21:13:30,55.34,44.72,""
server_1,21:13:10,21:13:40,61.93,49.04,""
server_1,21:13:20,21:13:50,60.54,40.8,""
server_1,21:13:30,21:14:00,65.55,42.65,""
server_1,21:13:40,21:14:10,67.98,43.82,""
server_1,21:13:50,21:14:20,58.11,49.67,""
server_1,21:14:00,21:14:30,43.4,56.92,""
server_1,21:14:10,21:14:40,37.73,51.32,""
server_1,21:14:20,21:14:50,46.31,54.68,""
server_1,21:14:30,21:15:00,53.41,50.71,""
server_1,21:14:40,21:15:10,50.41,54.12,""
server_1,21:14:50,21:15:20,48.28,56.56,""
server_1,21:15:00,21:15:30,45.51,51.33,""
server_1,21:15:10,21:15:40,34.56,54.47,""
server_1,21:15:20,21:15:50,35.54,54.47,""
server_1,21:15:30,21:16:00,36.76,53.95,""
server_1,21:15:40,21:16:10,45.99,46.74,""
server_1,21:15:50,21:16:20,36.3,33.52,""
server_1,21:16:00,21:16:30,51.9,22.77,""
server_1,21:16:10,21:16:40,51.34,22.68,""
server_1,21:16:20,21:16:50,67.15,36.15,""
server_1,21:16:30,21:17:00,51.91,43.59,""
server_1,21:16:40,21:17:10,59.16,42.7,""
server_1,21:16:50,21:17:20,43.78,42.47,""
server_1,21:17:00,21:17:30,48.93,49.59,""
server_1,21:17:10,21:17:40,52.18,60.27,""
server_1,21:17:20,21:17:50,70.25,64.46,""
server_1,21:17:30,21:18:00,77.79,64.46,CPU spike suspected
server_1,21:17:40,21:18:10,76.45,73.49,CPU spike suspected
server_1,21:17:50,21:18:20,66.03,64.77,""
server_1,21:18:00,21:18:30,48.44,57.05,""
server_1,21:18:10,21:18:40,43.88,44.07,""
server_1,21:18:20,21:18:50,44.44,46.93,""
server_1,21:18:30,21:19:00,45.46,51.95,""
server_1,21:18:40,21:19:10,43.5,52.38,""
server_1,21:18:50,21:19:20,38.6,49.31,""
server_1,21:19:00,21:19:30,41.24,49.12,""
server_1,21:19:10,21:19:40,40.4,48.16,""
server_1,21:19:20,21:19:50,45.7,50.18,""
server_1,21:19:30,21:20:00,53.56,57.97,""
server_1,21:19:40,21:20:10,65.88,53.64,""
server_1,21:19:50,21:20:20,64.72,54.74,""
server_1,21:20:00,21:20:30,50.23,53.08,""
server_1,21:20:10,21:20:40,39.92,72.82,""
server_1,21:20:20,21:20:50,43.74,64.5,""
server_1,21:20:30,21:21:00,61.09,68.3,""
server_1,21:20:40,21:21:10,58.02,46.96,""
server_1,21:20:50,21:21:20,47.35,55.87,""
server_1,21:21:00,21:21:30,47.78,47.28,""
server_1,21:21:10,21:21:40,65.53,43.24,""
server_1,21:21:20,21:21:50,74.65,47.32,""
server_1,21:21:30,21:22:00,67.83,52.1,""
server_1,21:21:40,21:22:10,66.41,65.6,""
server_1,21:21:50,21:22:20,68.52,65.3,""
server_1,21:22:00,21:22:30,63.5,60.27,""
server_1,21:22:10,21:22:40,44.09,57.27,""
server_1,21:22:20,21:22:50,34.95,48.78,""
server_1,21:22:30,21:23:00,33.17,41.16,""
server_1,21:22:40,21:23:10,48.44,46.14,""
server_1,21:22:50,21:23:20,50.79,42.82,""
server_1,21:23:00,21:23:30,53.55,48.82,""
server_1,21:23:10,21:23:40,45.17,35.9,""
server_1,21:23:20,21:23:50,57.64,46.25,""
server_1,21:23:30,21:24:00,60.66,39.73,""
server_1,21:23:40,21:24:10,63.14,43.52,""
server_1,21:23:50,21:24:20,45.88,33.1,""
server_1,21:24:00,21:24:30,49.73,43.99,""
server_1,21:24:10,21:24:40,49.77,47.95,""
server_1,21:24:20,21:24:50,66.45,67.49,""
server_1,21:24:30,21:25:00,62.78,62.51,""
server_1,21:24:40,21:25:10,70.64,61.59,""
server_1,21:24:50,21:25:20,75.69,38.55,""
server_1,21:25:00,21:25:30,69.79,37.78,""
server_1,21:25:10,21:25:40,56.39,49.54,""
server_1,21:25:20,21:25:50,45.84,63.08,""
server_1,21:25:30,21:26:00,55.71,64.28,""
server_1,21:25:40,21:26:10,54.15,58.72,""
server_1,21:25:50,21:26:20,49.2,51.18,""
server_1,21:26:00,21:26:30,42.84,58.33,""
server_1,21:26:10,21:26:40,53.38,55.76,""
server_1,21:26:20,21:26:50,56.31,72.56,""
server_1,21:26:30,21:27:00,52.29,72.69,""
server_1,21:26:40,21:27:10,50.82,71.48,""
server_1,21:26:50,21:27:20,50.65,66.37,""
server_1,21:27:00,21:27:30,49.04,58.95,""
server_1,21:27:10,21:27:40,52.23,50.87,""
server_1,21:27:20,21:27:50,47.58,37.0,""
server_1,21:27:30,21:28:00,60.96,51.54,""
server_1,21:27:40,21:28:10,50.41,54.84,""
server_1,21:27:50,21:28:20,60.05,52.15,""
server_1,21:28:00,21:28:30,60.1,31.44,""
server_1,21:28:10,21:28:40,58.16,25.83,""
server_1,21:28:20,21:28:50,56.85,32.53,""
server_1,21:28:30,21:29:00,52.01,37.12,""
server_1,21:28:40,21:29:10,57.39,47.51,""
server_1,21:28:50,21:29:20,58.07,53.31,""
server_1,21:29:00,21:29:30,54.52,57.54,""
server_1,21:29:10,21:29:40,59.4,54.72,""
server_1,21:29:20,21:29:50,49.21,58.68,""
server_1,21:29:30,21:30:00,55.58,49.94,""
server_1,21:29:40,21:30:10,55.81,56.97,""
server_1,21:29:50,21:30:20,66.59,43.75,""
server_1,21:30:00,21:30:30,61.86,52.61,""
server_1,21:30:10,21:30:40,47.51,48.0,""
server_1,21:30:20,21:30:50,40.08,49.32,""
server_1,21:30:30,21:31:00,48.51,60.56,""
server_1,21:30:40,21:31:10,55.16,68.54,""
server_1,21:30:50,21:31:20,45.95,75.0,Memory saturation suspected
server_1,21:31:00,21:31:30,42.43,54.31,""
server_1,21:31:10,21:31:40,44.46,42.0,""
server_1,21:31:20,21:31:50,51.1,49.35,""
server_1,21:31:30,21:32:00,51.76,53.28,""
server_1,21:31:40,21:32:10,61.27,61.99,""
server_1,21:31:50,21:32:20,77.61,58.19,CPU spike suspected
server_1,21:32:00,21:32:30,65.36,73.55,""
server_1,21:32:10,21:32:40,43.5,73.02,""
server_1,21:32:20,21:32:50,40.14,63.12,""
server_1,21:32:30,21:33:00,43.3,48.86,""
server_1,21:32:40,21:33:10,46.15,44.65,""
server_1,21:32:50,21:33:20,36.42,51.34,""
server_1,21:33:00,21:33:30,38.66,55.38,""
server_1,21:33:10,21:33:40,47.2,50.68,""
server_1,21:33:20,21:33:50,35.8,48.59,""
server_1,21:33:30,21:34:00,39.66,59.01,""
server_1,21:33:40,21:34:10,42.5,62.77,""
server_1,21:33:50,21:34:20,52.45,65.4,""
server_1,21:34:00,21:34:30,63.51,56.39,""
server_1,21:34:10,21:34:40,68.43,64.12,""
server_1,21:34:20,21:34:50,65.68,58.52,""
server_1,21:34:30,21:35:00,50.36,55.21,""
server_1,21:34:40,21:35:10,49.6,54.9,""
server_1,21:34:50,21:35:20,59.37,62.09,""
server_1,21:35:00,21:35:30,59.85,61.71,""
server_1,21:35:10,21:35:40,68.95,51.83,""
server_1,21:35:20,21:35:50,53.57,49.39,""
server_1,21:35:30,21:36:00,60.27,47.98,""
server_1,21:35:40,21:36:10,42.56,56.15,""
server_1,21:35:50,21:36:20,49.84,49.0,""
server_1,21:36:00,21:36:30,51.68,47.77,""
server_1,21:36:10,21:36:40,54.87,35.66,""
server_1,21:36:20,21:36:50,66.73,35.13,""
server_1,21:36:30,21:37:00,59.89,52.46,""
server_1,21:36:40,21:37:10,71.49,58.06,""
server_1,21:36:50,21:37:20,57.54,56.95,""
server_1,21:37:00,21:37:30,64.96,40.06,""
server_1,21:37:10,21:37:40,53.21,44.78,""
server_1,21:37:20,21:37:50,70.89,58.16,""
server_1,21:37:30,21:38:00,66.27,69.86,""
server_1,21:37:40,21:38:10,73.42,64.15,""
server_1,21:37:50,21:38:20,60.12,54.66,""
server_1,21:38:00,21:38:30,54.85,43.09,""
server_1,21:38:10,21:38:40,45.55,35.03,""
server_1,21:38:20,21:38:50,62.16,25.87,""
server_1,21:38:30,21:39:00,59.55,38.59,""
server_1,21:38:40,21:39:10,64.27,50.11,""
server_1,21:38:50,21:39:20,51.53,62.36,""
server_1,21:39:00,21:39:30,48.02,59.05,""
server_1,21:39:10,21:39:40,60.68,43.47,""
server_1,21:39:20,21:39:50,57.92,47.06,""
server_1,21:39:30,21:40:00,57.12,46.79,""
server_1,21:39:40,21:40:10,42.7,53.87,""
server_1,21:39:50,21:40:20,40.28,42.91,""
server_1,21:40:00,21:40:30,39.11,44.65,""
server_1,21:40:10,21:40:40,39.93,38.96,""
server_1,21:40:20,21:40:50,50.79,38.07,""
server_1,21:40:30,21:41:00,71.92,43.58,""
server_1,21:40:40,21:41:10,68.92,54.04,""
