ts,server_id,net_in,net_out
20:53:00,server_20,550.5,568.71
20:53:00,server_19,969.69,873.41
20:53:00,server_18,428.19,328.85
20:53:00,server_17,439.13,438.49
20:53:00,server_16,574.83,446.46
20:53:00,server_14,5814.22,5643.38
20:53:00,server_13,647.14,617.28
20:53:00,server_12,819.3,1096.5
20:53:00,server_11,2204.8,2566.66
20:53:00,server_15,582.02,683.26
20:53:00,server_9,3827.85,4305.66
20:53:00,server_8,894.83,1294.2
20:53:00,server_7,1075.62,1452.54
20:53:00,server_6,1732.07,1790.64
20:53:00,server_5,3568.01,3488.37
20:53:00,server_4,769.59,1149.81
20:53:00,server_3,271.2,359.53
20:53:00,server_2,572.28,762.18
20:53:00,server_10,2837.14,2503.66
20:53:05,server_13,945.47,1198.94
20:53:05,server_14,340.11,443.7
20:53:05,server_15,7057.93,7012.14
20:53:05,server_16,12859.11,11502.26
20:53:05,server_20,276.47,268.58
20:53:05,server_18,316.94,257.69
20:53:05,server_19,859.52,1184.71
20:53:05,server_12,304.66,188.27
20:53:05,server_17,191.69,108.96
20:53:05,server_11,236.64,156.18
20:53:05,server_5,4913.11,4214.7
20:53:05,server_9,835.9,429.56
20:53:05,server_10,2794.94,2790.85
20:53:05,server_2,358.82,490.53
20:53:05,server_3,386.25,256.62
20:53:05,server_4,378.67,512.11
20:53:05,server_1,19655.43,20463.26
20:53:05,server_6,15593.4,16133.29
20:53:05,server_7,405.61,531.19
20:53:05,server_8,219.28,151.92
20:53:10,server_20,384.04,435.87
20:53:10,server_19,46.31,59.96
20:53:10,server_18,4475.41,4631.22
20:53:10,server_17,441.53,350.75
20:53:10,server_16,878.13,875.18
20:53:10,server_14,948.31,482.19
20:53:10,server_13,915.07,836.61
20:53:10,server_12,712.4,576.81
20:53:10,server_11,1097.26,1237.33
20:53:10,server_15,174.73,178.56
20:53:10,server_9,124.88,81.49
20:53:10,server_2,449.47,234.68
20:53:10,server_3,498.14,431.38
20:53:10,server_4,435.85,226.64
20:53:10,server_5,442.34,306.23
20:53:10,server_1,901.74,1192.22
20:53:10,server_6,12.78,14.33
20:53:10,server_7,160.3,187.56
20:53:10,server_8,4456.71,4269.7
20:53:10,server_10,222.25,315.99
20:53:15,server_12,546.5,696.48
20:53:15,server_19,9182.76,9324.92
20:53:15,server_18,1019.12,1346.11
20:53:15,server_17,12646.55,10301.06
20:53:15,server_16,178.21,126.76
20:53:15,server_15,589.42,406.38
20:53:15,server_14,178.35,158.04
20:53:15,server_13,262.53,186.88
20:53:15,server_11,841.69,692.69
20:53:15,server_20,188.74,171.25
20:53:15,server_9,333.54,231.04
20:53:15,server_1,1050.34,1190.29
20:53:15,server_2,487.99,630.02
20:53:15,server_3,513.45,690.74
20:53:15,server_4,553.28,810.0
20:53:15,server_10,175.83,149.01
20:53:15,server_6,2966.46,3214.03
20:53:15,server_7,76.96,92.29
20:53:15,server_8,19422.75,20684.28
20:53:15,server_5,470.48,434.6
20:53:20,server_11,436.19,453.42
20:53:20,server_19,846.8,849.92
20:53:20,server_18,844.76,692.1
20:53:20,server_17,121.42,147.43
20:53:20,server_16,132.21,157.41
20:53:20,server_15,872.29,770.77
20:53:20,server_14,24.34,35.51
20:53:20,server_13,877.82,574.4
20:53:20,server_12,508.56,366.37
20:53:20,server_20,164.86,95.1
20:53:20,server_10,13644.25,14401.52
20:53:20,server_8,60.29,51.42
20:53:20,server_7,553.12,598.31
20:53:20,server_6,456.33,567.16
20:53:20,server_5,271.38,165.29
20:53:20,server_4,4048.69,3517.47
20:53:20,server_3,688.34,448.33
20:53:20,server_2,195.0,221.13
20:53:20,server_1,163.97,130.97
20:53:20,server_9,423.85,568.95
20:53:25,server_13,305.58,350.28
20:53:25,server_14,17609.03,20133.27
20:53:25,server_16,182.63,98.46
20:53:25,server_12,3810.76,4394.1
20:53:25,server_18,192.91,247.86
20:53:25,server_19,596.96,531.68
20:53:25,server_20,171.24,158.66
20:53:25,server_17,4601.52,4917.08
20:53:25,server_11,17187.49,17448.84
20:53:25,server_15,447.55,314.22
20:53:25,server_9,4322.65,3817.16
20:53:25,server_1,888.3,892.83
20:53:25,server_2,955.82,879.12
20:53:25,server_3,985.11,863.57
20:53:25,server_4,391.44,277.14
20:53:25,server_10,124.98,114.25
20:53:25,server_6,597.4,736.05
20:53:25,server_7,207.57,230.03
20:53:25,server_8,4229.63,4016.21
20:53:25,server_5,509.3,593.85
20:53:30,server_20,196.79,106.21
20:53:30,server_19,10804.97,11912.47
20:53:30,server_18,810.92,978.45
20:53:30,server_17,14470.86,12742.09
20:53:30,server_16,670.98,854.62
20:53:30,server_15,917.4,1205.13
20:53:30,server_14,535.96,799.68
20:53:30,server_12,44.21,43.32
20:53:30,server_11,453.71,340.21
20:53:30,server_13,866.57,1021.59
20:53:30,server_9,12234.45,12679.81
20:53:30,server_8,936.47,896.76
20:53:30,server_7,873.52,932.57
20:53:30,server_6,380.85,399.34
20:53:30,server_5,287.2,388.02
20:53:30,server_4,15294.72,17166.45
20:53:30,server_3,567.64,482.96
20:53:30,server_2,286.32,161.98
20:53:30,server_10,158.38,233.37
20:53:30,server_1,892.31,785.87
20:53:35,server_13,421.18,443.7
20:53:35,server_14,833.77,1070.32
20:53:35,server_15,606.52,825.39
20:53:35,server_16,929.96,528.95
20:53:35,server_20,292.94,173.48
20:53:35,server_18,947.31,590.82
20:53:35,server_19,963.84,742.94
20:53:35,server_12,226.98,166.48
20:53:35,server_17,3585.52,3600.7
20:53:35,server_11,3755.78,3593.9
20:53:35,server_3,968.33,525.45
20:53:35,server_9,12585.02,11858.92
20:53:35,server_8,965.71,602.93
20:53:35,server_7,146.07,205.48
20:53:35,server_6,917.89,620.08
20:53:35,server_5,857.41,637.35
20:53:35,server_4,438.02,598.04
20:53:35,server_2,535.84,587.13
20:53:35,server_1,1035.8,883.96
20:53:35,server_10,86.56,109.63
20:53:40,server_12,683.04,740.17
20:53:40,server_13,562.92,286.21
20:53:40,server_14,795.53,538.1
20:53:40,server_15,33.01,16.97
20:53:40,server_19,15628.81,17395.74
20:53:40,server_17,92.68,125.05
20:53:40,server_18,619.17,871.09
20:53:40,server_11,234.36,293.05
20:53:40,server_16,930.58,658.77
20:53:40,server_20,938.54,1168.14
20:53:40,server_10,536.42,456.09
20:53:40,server_8,460.92,527.46
20:53:40,server_1,452.62,250.86
20:53:40,server_2,11398.24,12557.68
20:53:40,server_3,495.38,568.8
20:53:40,server_9,3585.07,3160.29
20:53:40,server_5,4653.45,4486.44
20:53:40,server_6,241.99,195.25
20:53:40,server_7,628.93,787.86
20:53:40,server_4,196.08,273.11
20:53:45,server_13,10583.15,11308.82
20:53:45,server_20,1001.03,855.91
20:53:45,server_19,14877.43,12313.02
20:53:45,server_18,227.59,284.96
20:53:45,server_17,878.93,791.23
20:53:45,server_16,707.72,686.14
20:53:45,server_15,1609.97,1632.76
20:53:45,server_14,193.73,235.76
20:53:45,server_12,0.0,0.0
20:53:45,server_11,209.09,109.92
20:53:45,server_1,96.61,85.51
20:53:45,server_9,19163.54,22893.03
20:53:45,server_8,617.95,603.77
20:53:45,server_7,5331.48,4974.9
20:53:45,server_6,46.45,63.48
20:53:45,server_5,4016.45,4175.49
20:53:45,server_4,177.48,92.17
20:53:45,server_3,49.99,40.31
20:53:45,server_2,451.48,569.99
20:53:45,server_10,161.94,225.21
20:53:50,server_13,136.04,148.43
20:53:50,server_14,4902.81,4183.41
20:53:50,server_15,260.26,155.64
20:53:50,server_16,955.87,624.49
20:53:50,server_12,1456.7,1283.91
20:53:50,server_18,30.7,20.15
20:53:50,server_19,192.57,144.07
20:53:50,server_20,11403.88,12471.16
20:53:50,server_17,461.99,588.34
20:53:50,server_11,19108.51,21654.16
20:53:50,server_1,3491.0,3543.39
20:53:50,server_9,89.74,122.42
20:53:50,server_8,400.49,271.46
20:53:50,server_7,434.61,266.23
20:53:50,server_6,180.23,230.09
20:53:50,server_5,25.88,19.13
20:53:50,server_4,196.38,105.38
20:53:50,server_3,794.39,1118.5
20:53:50,server_2,127.11,143.73
20:53:50,server_10,114.46,60.87
20:53:55,server_13,161.33,198.62
20:53:55,server_14,814.14,441.64
20:53:55,server_15,7736.41,7363.78
20:53:55,server_16,19982.6,22347.88
20:53:55,server_20,515.35,480.03
20:53:55,server_18,2130.04,1920.54
20:53:55,server_19,1011.89,961.5
20:53:55,server_12,18385.87,15306.72
20:53:55,server_17,4260.3,3518.2
20:53:55,server_11,3267.77,3522.89
20:53:55,server_5,829.5,565.86
20:53:55,server_9,693.94,466.23
20:53:55,server_2,279.69,326.09
20:53:55,server_3,700.17,378.34
20:53:55,server_4,10388.47,11772.86
20:53:55,server_1,894.15,1286.42
20:53:55,server_6,139.21,145.02
20:53:55,server_7,4590.22,5029.01
20:53:55,server_8,807.26,1199.95
20:53:55,server_10,8810.79,7463.5
20:54:00,server_12,1001.36,628.02
20:54:00,server_19,238.25,299.27
20:54:00,server_18,564.54,388.23
20:54:00,server_17,436.83,488.92
20:54:00,server_16,562.19,753.12
20:54:00,server_15,539.67,780.99
20:54:00,server_14,1042.28,697.47
20:54:00,server_13,1955.75,1760.28
20:54:00,server_11,265.37,321.92
20:54:00,server_20,884.96,1247.21
20:54:00,server_9,546.42,520.53
20:54:00,server_1,628.97,588.93
20:54:00,server_2,818.07,600.61
20:54:00,server_3,614.15,677.21
20:54:00,server_4,920.32,831.8
20:54:00,server_10,19614.49,22060.65
20:54:00,server_6,48.44,33.56
20:54:00,server_7,15286.17,12557.45
20:54:00,server_8,2745.44,2257.58
20:54:00,server_5,931.03,555.15
20:54:05,server_11,1150.92,947.28
20:54:05,server_19,387.48,198.23
20:54:05,server_18,554.98,390.6
20:54:05,server_17,4707.55,5210.54
20:54:05,server_16,395.88,343.25
20:54:05,server_15,889.44,956.29
20:54:05,server_14,972.64,1188.22
20:54:05,server_13,320.77,442.41
20:54:05,server_12,656.45,491.11
20:54:05,server_20,193.82,192.96
20:54:05,server_10,443.95,342.86
20:54:05,server_8,4109.46,4730.84
20:54:05,server_7,902.65,1286.75
20:54:05,server_6,19262.14,18673.63
20:54:05,server_5,681.74,574.44
20:54:05,server_4,898.92,1276.5
20:54:05,server_3,4707.23,4841.26
20:54:05,server_2,842.36,1042.19
20:54:05,server_1,494.15,484.47
20:54:05,server_9,348.38,441.81
20:54:10,server_14,138.11,110.67
20:54:10,server_15,980.23,1407.26
20:54:10,server_16,479.55,530.29
20:54:10,server_13,666.27,448.76
20:54:10,server_18,266.64,227.13
20:54:10,server_19,492.13,480.73
20:54:10,server_20,17.3,11.59
20:54:10,server_17,225.73,309.18
20:54:10,server_12,677.35,473.65
20:54:10,server_11,320.84,172.26
20:54:10,server_1,2596.59,2119.05
20:54:10,server_9,6141.85,5857.14
20:54:10,server_8,990.18,1243.3
20:54:10,server_7,460.32,350.59
20:54:10,server_6,2047.64,1658.63
20:54:10,server_5,887.31,461.51
20:54:10,server_4,1028.55,1437.37
20:54:10,server_3,403.39,561.56
20:54:10,server_2,638.58,847.85
20:54:10,server_10,88.56,103.83
20:54:15,server_13,295.69,202.15
20:54:15,server_14,447.42,553.05
20:54:15,server_15,472.31,335.33
20:54:15,server_20,963.04,1385.15
20:54:15,server_18,867.27,482.26
20:54:15,server_19,138.18,91.36
20:54:15,server_12,880.26,549.34
20:54:15,server_16,3.89,2.59
20:54:15,server_11,4536.08,3901.42
20:54:15,server_17,11493.23,11023.56
20:54:15,server_9,916.63,1029.81
20:54:15,server_10,8932.09,8885.06
20:54:15,server_2,495.67,361.03
20:54:15,server_3,181.44,117.97
20:54:15,server_4,230.71,116.63
