server_id,window_start,window_end,max_net_in,max_disk_io,alert
server_1,20:53:00,20:53:30,19655.43,5158.26,Network flood + Disk thrash suspected
server_1,20:53:10,20:53:40,1050.34,5158.26,Disk thrash suspected
server_1,20:53:20,20:53:50,1035.8,5158.26,Disk thrash suspected
server_1,20:53:30,20:54:00,3491.0,4305.34,Disk thrash suspected
server_1,20:53:40,20:54:10,3491.0,4305.34,Disk thrash suspected
server_1,20:53:50,20:54:20,3491.0,1543.07,Disk thrash suspected
server_1,20:54:00,20:54:30,2596.59,1543.07,Disk thrash suspected
server_1,20:54:10,20:54:40,13029.48,1543.07,Network flood + Disk thrash suspected
server_1,20:54:20,20:54:50,16435.65,163.72,Possible DDoS
server_1,20:54:30,20:55:00,16435.65,8630.75,Network flood + Disk thrash suspected
server_1,20:54:40,20:55:10,16435.65,8630.75,Network flood + Disk thrash suspected
server_1,20:54:50,20:55:20,4675.12,8630.75,Disk thrash suspected
server_1,20:55:00,20:55:30,4675.12,7319.9,Disk thrash suspected
server_1,20:55:10,20:55:40,4675.12,7319.9,Disk thrash suspected
server_1,20:55:20,20:55:50,9566.19,7319.9,Network flood + Disk thrash suspected
server_1,20:55:30,20:56:00,15289.69,3422.35,Network flood + Disk thrash suspected
server_1,20:55:40,20:56:10,15289.69,7587.77,Network flood + Disk thrash suspected
server_1,20:55:50,20:56:20,15289.69,7587.77,Network flood + Disk thrash suspected
server_1,20:56:00,20:56:30,7110.92,7587.77,Network flood + Disk thrash suspected
server_1,20:56:10,20:56:40,7110.92,8519.81,Network flood + Disk thrash suspected
server_1,20:56:20,20:56:50,7110.92,8519.81,Network flood + Disk thrash suspected
server_1,20:56:30,20:57:00,875.54,8519.81,Disk thrash suspected
server_1,20:56:40,20:57:10,901.12,167.44,""
server_1,20:56:50,20:57:20,901.12,126.65,""
server_1,20:57:00,20:57:30,901.12,126.65,""
server_1,20:57:10,20:57:40,967.53,123.44,""
server_1,20:57:20,20:57:50,967.53,123.44,""
server_1,20:57:30,20:58:00,17798.56,172.39,Possible DDoS
server_1,20:57:40,20:58:10,17798.56,172.39,Possible DDoS
server_1,20:57:50,20:58:20,17798.56,7468.62,Network flood + Disk thrash suspected
server_1,20:58:00,20:58:30,889.68,7468.62,Disk thrash suspected
server_1,20:58:10,20:58:40,889.68,7468.62,Disk thrash suspected
server_1,20:58:20,20:58:50,1686.61,1542.57,Disk thrash suspected
server_1,20:58:30,20:59:00,1686.61,1542.57,Disk thrash suspected
server_1,20:58:40,20:59:10,1686.61,1542.57,Disk thrash suspected
server_1,20:58:50,20:59:20,874.18,113.51,""
server_1,20:59:00,20:59:30,874.18,122.25,""
server_1,20:59:10,20:59:40,7813.13,122.25,Possible DDoS
server_1,20:59:20,20:59:50,13553.42,122.25,Possible DDoS
server_1,20:59:30,21:00:00,13553.42,1312.67,Network flood + Disk thrash suspected
server_1,20:59:40,21:00:10,19718.37,1312.67,Network flood + Disk thrash suspected
server_1,20:59:50,21:00:20,19718.37,1312.67,Network flood + Disk thrash suspected
server_1,21:00:00,21:00:30,19718.37,178.89,Possible DDoS
server_1,21:00:10,21:00:40,997.7,178.89,""
server_1,21:00:20,21:00:50,979.32,178.89,""
server_1,21:00:30,21:01:00,979.32,133.65,""
server_1,21:00:40,21:01:10,979.32,133.65,""
server_1,21:00:50,21:01:20,5768.67,118.5,""
server_1,21:01:00,21:01:30,5768.67,118.5,""
server_1,21:01:10,21:01:40,5768.67,118.5,""
server_1,21:01:20,21:01:50,1349.26,1568.37,Disk thrash suspected
server_1,21:01:30,21:02:00,1349.26,1568.37,Disk thrash suspected
server_1,21:01:40,21:02:10,1349.26,8318.52,Disk thrash suspected
server_1,21:01:50,21:02:20,1120.53,8318.52,Disk thrash suspected
server_1,21:02:00,21:02:30,4699.93,8318.52,Disk thrash suspected
server_1,21:02:10,21:02:40,4699.93,6493.93,Disk thrash suspected
server_1,21:02:20,21:02:50,17666.2,6493.93,Network flood + Disk thrash suspected
server_1,21:02:30,21:03:00,17666.2,6493.93,Network flood + Disk thrash suspected
server_1,21:02:40,21:03:10,17666.2,6905.08,Network flood + Disk thrash suspected
server_1,21:02:50,21:03:20,2762.05,6905.08,Disk thrash suspected
server_1,21:03:00,21:03:30,978.3,6905.08,Disk thrash suspected
server_1,21:03:10,21:03:40,7790.9,202.79,Possible DDoS
server_1,21:03:20,21:03:50,7790.9,202.79,Possible DDoS
server_1,21:03:30,21:04:00,7790.9,1317.5,Network flood + Disk thrash suspected
server_1,21:03:40,21:04:10,4625.24,1374.64,Disk thrash suspected
server_1,21:03:50,21:04:20,4625.24,9715.78,Disk thrash suspected
server_1,21:04:00,21:04:30,3399.93,9715.78,Disk thrash suspected
server_1,21:04:10,21:04:40,3238.43,9715.78,Disk thrash suspected
server_1,21:04:20,21:04:50,3238.43,1296.86,Disk thrash suspected
server_1,21:04:30,21:05:00,3238.43,1251.5,Disk thrash suspected
server_1,21:04:40,21:05:10,1510.41,1070.93,""
server_1,21:04:50,21:05:20,3525.18,1070.93,""
server_1,21:05:00,21:05:30,3525.18,573.01,""
