ts,server_id,cpu_pct,mem_pct,net_in,net_out,disk_io
20:53:00,server_1,26.49,37.11,281.82,405.07,65.75
20:53:00,server_20,59.83,63.02,550.5,568.71,137.35
20:53:00,server_19,93.62,82.47,969.69,873.41,60.24
20:53:00,server_18,42.17,45.06,428.19,328.85,0.0
20:53:00,server_17,43.66,53.14,439.13,438.49,143.8
20:53:00,server_16,65.36,78.9,574.83,446.46,100.43
20:53:00,server_14,52.35,45.81,5814.22,5643.38,120.83
20:53:00,server_13,69.27,83.0,647.14,617.28,59.14
20:53:00,server_12,86.13,93.27,819.3,1096.5,88.08
20:53:00,server_11,44.98,60.55,2204.8,2566.66,1285.88
20:53:00,server_15,59.76,60.64,582.02,683.26,91.03
20:53:00,server_9,41.89,51.15,3827.85,4305.66,760.3
20:53:00,server_8,96.83,96.15,894.83,1294.2,46.4
20:53:00,server_7,92.79,28.79,1075.62,1452.54,54.51
20:53:00,server_6,49.39,64.06,1732.07,1790.64,1407.3
20:53:00,server_5,52.25,42.7,3568.01,3488.37,1366.47
20:53:00,server_4,83.53,0.28,769.59,1149.81,16.84
20:53:00,server_3,20.09,10.16,271.2,359.53,45.2
20:53:00,server_2,58.83,58.72,572.28,762.18,91.23
20:53:00,server_10,64.15,55.7,2837.14,2503.66,1791.25
20:53:05,server_13,97.27,91.88,945.47,1198.94,57.08
20:53:05,server_14,30.2,29.29,340.11,443.7,34.0
20:53:05,server_15,56.8,48.42,7057.93,7012.14,9.01
20:53:05,server_16,69.89,45.96,12859.11,11502.26,177.97
20:53:05,server_20,38.06,53.24,276.47,268.58,11.42
20:53:05,server_18,28.33,45.59,316.94,257.69,0.0
20:53:05,server_19,85.8,94.83,859.52,1184.71,81.26
20:53:05,server_12,27.36,83.59,304.66,188.27,107.69
20:53:05,server_17,24.45,40.68,191.69,108.96,9449.14
20:53:05,server_11,17.21,88.89,236.64,156.18,39.39
20:53:05,server_5,57.49,41.43,4913.11,4214.7,1155.94
20:53:05,server_9,85.6,16.23,835.9,429.56,29.13
20:53:05,server_10,69.37,57.38,2794.94,2790.85,596.4
20:53:05,server_2,38.14,48.07,358.82,490.53,6.2
20:53:05,server_3,45.43,84.26,386.25,256.62,160.15
20:53:05,server_4,43.25,47.99,378.67,512.11,0.0
20:53:05,server_1,77.57,49.98,19655.43,20463.26,58.14
20:53:05,server_6,63.03,37.25,15593.4,16133.29,38.65
20:53:05,server_7,39.58,45.11,405.61,531.19,0.0
20:53:05,server_8,26.02,12.79,219.28,151.92,0.0
20:53:10,server_20,42.89,56.43,384.04,435.87,58.69
20:53:10,server_19,41.92,33.27,46.31,59.96,6972.0
20:53:10,server_18,63.31,42.55,4475.41,4631.22,1469.91
20:53:10,server_17,42.32,38.03,441.53,350.75,96.81
20:53:10,server_16,93.01,16.73,878.13,875.18,48.54
20:53:10,server_14,98.85,8.4,948.31,482.19,56.93
20:53:10,server_13,94.04,87.55,915.07,836.61,0.0
20:53:10,server_12,68.01,73.02,712.4,576.81,77.9
20:53:10,server_11,99.86,89.51,1097.26,1237.33,115.03
20:53:10,server_15,20.83,40.73,174.73,178.56,0.0
20:53:10,server_9,40.9,28.33,124.88,81.49,6123.76
20:53:10,server_2,47.06,69.19,449.47,234.68,39.19
20:53:10,server_3,45.81,45.64,498.14,431.38,0.0
20:53:10,server_4,36.48,30.77,435.85,226.64,89.14
20:53:10,server_5,47.39,43.55,442.34,306.23,94.93
20:53:10,server_1,92.59,3.18,901.74,1192.22,104.15
20:53:10,server_6,48.77,43.51,12.78,14.33,5985.86
20:53:10,server_7,25.66,44.74,160.3,187.56,7262.68
20:53:10,server_8,58.48,60.37,4456.71,4269.7,1689.76
20:53:10,server_10,18.01,88.9,222.25,315.99,120.32
20:53:15,server_12,54.27,72.67,546.5,696.48,80.04
20:53:15,server_19,62.17,49.56,9182.76,9324.92,157.06
20:53:15,server_18,99.71,1.42,1019.12,1346.11,140.39
20:53:15,server_17,77.33,50.56,12646.55,10301.06,94.15
20:53:15,server_16,23.14,33.49,178.21,126.76,6978.78
20:53:15,server_15,53.38,48.08,589.42,406.38,55.56
20:53:15,server_14,23.67,38.26,178.35,158.04,5319.72
20:53:15,server_13,21.6,11.81,262.53,186.88,0.0
20:53:15,server_11,81.85,17.93,841.69,692.69,0.0
20:53:15,server_20,24.66,27.87,188.74,171.25,49.58
20:53:15,server_9,26.05,20.34,333.54,231.04,54.44
20:53:15,server_1,99.53,20.62,1050.34,1190.29,59.72
20:53:15,server_2,54.47,63.78,487.99,630.02,143.73
20:53:15,server_3,50.73,61.15,513.45,690.74,94.12
20:53:15,server_4,51.97,48.91,553.28,810.0,63.02
20:53:15,server_10,35.16,48.51,175.83,149.01,8877.16
20:53:15,server_6,50.21,40.93,2966.46,3214.03,1640.43
20:53:15,server_7,38.61,28.58,76.96,92.29,5645.1
20:53:15,server_8,50.15,34.51,19422.75,20684.28,145.97
20:53:15,server_5,45.69,55.61,470.48,434.6,67.8
20:53:20,server_11,43.67,54.8,436.19,453.42,9.44
20:53:20,server_19,89.1,80.21,846.8,849.92,102.18
20:53:20,server_18,87.24,22.48,844.76,692.1,0.0
20:53:20,server_17,21.3,46.08,121.42,147.43,70.76
20:53:20,server_16,24.43,35.95,132.21,157.41,5696.0
20:53:20,server_15,85.73,14.72,872.29,770.77,0.21
20:53:20,server_14,44.2,23.54,24.34,35.51,4191.8
20:53:20,server_13,91.9,93.91,877.82,574.4,162.42
20:53:20,server_12,51.31,63.24,508.56,366.37,10.38
20:53:20,server_20,14.87,82.34,164.86,95.1,56.81
20:53:20,server_10,71.63,58.42,13644.25,14401.52,149.76
20:53:20,server_8,29.49,33.85,60.29,51.42,8251.2
20:53:20,server_7,52.11,58.22,553.12,598.31,149.45
20:53:20,server_6,45.67,51.17,456.33,567.16,92.24
20:53:20,server_5,25.92,46.73,271.38,165.29,0.0
20:53:20,server_4,68.34,69.77,4048.69,3517.47,1969.84
20:53:20,server_3,64.58,67.93,688.34,448.33,27.82
20:53:20,server_2,26.13,99.12,195.0,221.13,0.0
20:53:20,server_1,27.23,48.9,163.97,130.97,5158.26
20:53:20,server_9,44.81,50.39,423.85,568.95,43.24
20:53:25,server_13,40.06,56.99,305.58,350.28,94.77
20:53:25,server_14,61.24,32.31,17609.03,20133.27,78.73
20:53:25,server_16,6.15,88.13,182.63,98.46,9.68
20:53:25,server_12,68.28,55.9,3810.76,4394.1,1853.28
20:53:25,server_18,21.7,92.0,192.91,247.86,0.0
20:53:25,server_19,56.53,63.07,596.96,531.68,46.78
20:53:25,server_20,27.62,39.87,171.24,158.66,8704.61
20:53:25,server_17,68.16,53.23,4601.52,4917.08,1528.18
20:53:25,server_11,64.5,51.28,17187.49,17448.84,24.31
20:53:25,server_15,45.64,43.32,447.55,314.22,53.34
20:53:25,server_9,57.98,65.87,4322.65,3817.16,1344.77
